Explanation;Target
vodafone'a ıyy diyen hayatında hiç vodafone kullanmamıştır;1
her yerde çekiyor diye geçtiğim güne lanet olsun. ne çekiyor ne interneti hızlı! üstelik ikiside rezalet olmasına rağmen 2.aydan sonra anlaştığımız tutarın üstüne fatura ödemeye başladım!!! vodafone vodafonehizmet;0
vodafone benim için bitti artık her yerde çekiyor diye aldık fatura yüksek ödüyoruz türk telekomda 40 tl’lik pakete sizde 62 ödüyoruz ama hizmet 0 çekim gücü 0 yazık!!;0
vodafone sizin de içine mi sızdılar yoksa bilinçli şekilde mi taraf tutuyorsunuz? önce ensar denilen pislik şimdi de bu!;0
saf olmamak gerekir. güvenlik açığı demek olayı hafifletir. burada bir düzenek var görünüyor vodafone;0
20 senedir biz de sana ulaşamıyorduk nedense vodafone;0
o işin açığı olmaz, kasten izin vermişlerdir, başka yolu olamaz. vodafone;0
elbette teknik açıklamanın hepsi doğrudur ama denklemdeki x faktörü gsm şebekesidir. operatör sms dahil tüm kişisel bilgileri paylaşmıştır. konunun fazlaca karmaşık bir yanı yoktur. eğer muhalifseniz vodafone v.b operatörler kişisel bilgilerinizi hukuksuzca paylaşıyor, olay budur;0
hırsızlar hepsi de öyle ama çaresiziz. uyuyan bakan turkcell'le telekom zaten çiftlik, vodafone'da korkak;0
insanları işe alırken nasıl bir yol izliyorsunuz bilmiyorum ama gerçekten artık tam bir yalan operatörüsünüz.çalisanlarinizi sizi her yere şikayet edeceğim vodafone vodafonehizmet ayrıca bir şikayetin çözüm süreci 96 saat ne demek? murat__erkan;0
"vodafonehizmet ""vodafone faturalarımız çok yüksek geliyor!""";0
yine müşteri hizmetinin 'evet sizi anlıyorm ama ben sadece arıza kaydı bildirebilirm.' demesini dinledik.derdimizi gerçektn dinleyeck bir yetkili yok mu?cinnet geçirmemize az kaldı.vodafone hattınz varsa internet verelm 4gb diyo.bilgisayarımda internet istiyorm ben bilgisayarımda;0
