Explanation;Target
"aboneliğimizi kapattırmak istedik 2 kere işlem yaptırdınız hala birbirimizden ayrılamadık biz sizden  yakamızı kurtaramıyoruz #bizirahatbırak
@VodafoneHizmet @Vodafone @SuperYardim #vodafoneboykot";0
"#temelihtiyackredisi Sayın @BeratAlbayrak
 Bakanım basvuruların en kısa surede sonuclandırılması tek temennimizdir.@Vodafone hattı kapattı, kredi durumunu bile takip edemiyoruz. Ozel bankalar ve @Vodafone gibi ozel sektor firmaları vatandasa soluk aldırtmıyor bu surecte.";0
05325320000   nolu numarayı neden otomatiğe alıp devamlı insanları arıyorsunuz yeter artık bu kadar saygısızlık insanları devamlı tedirgin ediyorsunuz derhal bu aramalara son verin artık;0
ben 3 haftadır bekliyorum ne randevu saati veriyolar ne günü ayarlayabılıyosun ne adres degısıklıgı yapabılıyosun ne şubeye gidip alabiliyosun yani istesen bu kadar kötü hizmet yapamassın o kadar söylüyorum @Vodafone;0
"Bankaları geçtim vodafone vodafon türktelekoma ne demek lazım 
1 fatura gecikti anında telefonu kestiler hepsi aç akbaba gibi leş gördüklerinde saldırıyorlar";0
Vodafone tam 2 saattir müşteri hizmetlerine ulaşmaya çalışıyorum böyle iğrenç,rezil bi hat görmedim çoook neeeeeett....;0
"Çözüme bak be geceden beri ne çözüm ama #vodafone ???  Arayarak çözemediğimi iletiyorum yazıyorum arayın diyorsunuz ?
Dalga mı geçiyorsunuz ? @Vodafone  pic.twitter.com/lmwNVnlBlP";0
Çekmeyen İnternetle nasıl olacak#Vodafone;0
Vodafone evde hayat varda İnternet çekmiyor nasıl olacak İnternetiniz çekmiyor;0
İşsiz olduğum için bu ayın faturasını ödeyemedim, reklamlarda evde kal diye caka satıp evde kalana ilk tokatı yine sen vurdun bravo vodafone @VodafoneHizmet pic.twitter.com/7ro3SIdQjz;0
Bunlar kan emici vicdansızlar;0
#ALLAHBELANIZIVERSIN @Vodafone @VodafoneHizmet  bari bu dönemde hat kapama ücreti almayın. ne biçim bir kan emicisisiniz?;0
"Hata kimde ? @VodafoneHizmet @Vodafone 
Neden insanları çıldırmak adına hizmet veriyorsunuz ? Neden okuduklarınızı anlamakta zorluk çekiyorsunuz ?
Neden hazır cevap olmak zorundasınız ?
Çözüm anlayışı dediğiniz şey görüşmemin içerisinde ki çözümsüzlük mü???  pic.twitter.com/78MnjA7vLU";0
