Explanation;Target
Vodafone'a ıyy diyen hayatında hiç vodafone kullanmamıştır;1
Her yerde çekiyor diye geçtiğim güne lanet olsun. Ne çekiyor ne interneti hızlı! Üstelik ikiside rezalet olmasına rağmen 2.aydan sonra anlaştığımız tutarın üstüne fatura ödemeye başladım!!! @Vodafone @vodafoneHizmet;0
Vodafone benim için bitti artık her yerde çekiyor diye aldık fatura yüksek ödüyoruz Türk telekomda 40 tl’lik pakete sizde 62 ödüyoruz ama hizmet 0 çekim gücü 0 yazık!!;0
Vodafone Sizin de içine mi sızdılar yoksa bilinçli şekilde mi taraf tutuyorsunuz? Önce ensar denilen pislik şimdi de bu!;0
Saf olmamak gerekir. Güvenlik açığı demek olayı hafifletir. Burada bir düzenek var görünüyor;0
20 senedir biz de sana ulaşamıyorduk nedense;0
O işin açığı olmaz, kasten izin vermişlerdir, başka yolu olamaz.;0
Elbette teknik açıklamanın hepsi doğrudur ama denklemdeki x faktörü gsm şebekesidir. Operatör SMS dahil tüm kişisel bilgileri paylaşmıştır. Konunun fazlaca karmaşık bir yanı yoktur. Eğer muhalifseniz Vodafone v.b operatörler kişisel bilgilerinizi hukuksuzca paylaşıyor, olay budur;0
Hırsızlar hepsi de öyle ama çaresiziz. Uyuyan bakan turkcell'le Telekom zaten Çiftlik, Vodafone'da korkak;0
Insanları işe alırken nasıl bir yol izliyorsunuz bilmiyorum ama gerçekten artık tam bir yalan operatörüsünüz.Çalisanlarinizi sizi her yere şikayet edeceğim @Vodafone @VodafoneHizmet ayrıca bir şikayetin çözüm süreci 96 saat ne demek? @Murat__Erkan;0
"VodafoneHizmet ""Vodafone Faturalarımız Çok Yüksek Geliyor!""";0
yine müşteri hizmetinin 'evet sizi anlıyorm ama ben sadece arıza kaydı bildirebilirm.' demesini dinledik.derdimizi gerçektn dinleyeck bir yetkili yok mu?cinnet geçirmemize az kaldı.Vodafone hattınz varsa internet verelm 4gb diyo.bilgisayarımda internet istiyorm ben bilgisayarımda;0
